movie_id,nome_filme,movie_original,nome_filmes_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_letterbox,nota_trakt,NaN_count,nota_score,streaming,studio,film_type,data,ranking
1214539,Trilha Sonora para um Golpe de Estado,Soundtrack to a Coup d'État,Soundtrack to a Coup d'État,2025-01-30,https://image.tmdb.org/t/p/w500/eZOB9UurVQjpdIp72L49pyd3anw.jpg,"7,6",,"8,1",,"8,2",,"8,14",,4,"8,1",N/A,Onomatopee Films,Cinema,2025-02-06,1
1256620,Kasa Branca,Kasa Branca,White House,2025-01-23,https://image.tmdb.org/t/p/w500/A2Crsr9YZFR6VVFjudMrzCp171k.jpg,,,,6,8,,,"8,5",4,8,N/A,TvZERO,Cinema,2025-02-06,1
1245347,Twinless,Twinless,Twinless,2025-01-23,https://image.tmdb.org/t/p/w500/3eYJiyLvftn0YSTKXHOmHB4ACzH.jpg,9,,,,,,"7,88",6,5,"7,88",N/A,TPC,Cinema,2025-02-06,1
974576,Conclave,Conclave,Conclave,2025-01-23,https://image.tmdb.org/t/p/w500/xS5SK7EVPCmsFAOT48rCsJesmkP.jpg,"7,1","7,4",,,"7,8",,"7,78","7,3630614914958565",1,"7,571530745747928",N/A,FilmNation Entertainment,Cinema,2025-02-06,1
1064213,Anora,Anora,Anora,2025-01-23,https://image.tmdb.org/t/p/w500/x6UGwS0YWMRV3TkmNAcZrxQOFhQ.jpg,"7,1","7,8",,,"7,6",,"8,02","7,5227272727272725",1,"7,561363636363636",N/A,Cre Film,Cinema,2025-02-06,1
1084199,Acompanhante Perfeita,Companion,Companion,2025-01-22,https://image.tmdb.org/t/p/w500/bjp5zXaIG5tOCtyzUzuf4lsdZub.jpg,"7,1",,"7,4",,,9,"7,14",0,3,"7,27",N/A,BoulderLight Pictures,Cinema,2025-02-06,1
1211472,Setembro 5,September 5,September 5,2025-01-30,https://image.tmdb.org/t/p/w500/3emldMXl1Q3p5yFUOZmBtuEn65C.jpg,"6,8",,"7,1",,"6,8","9,1","6,86","7,2204724409448815",1,"7,1",N/A,BerghausWöbke Filmproduktion,Cinema,2025-02-06,1
1013850,A Verdadeira Dor,A Real Pain,A Real Pain,2025-01-30,https://image.tmdb.org/t/p/w500/bnX7UzOcNzfgCZKSXzh5oOFsVRl.jpg,"6,9",,"7,2",,"6,8",,"7,52","6,869109947643979",2,"7,050000000000001",N/A,Fruit Tree,Cinema,2025-02-06,1
774370,O Homem-Cão,Dog Man,Dog Man,2025-01-24,https://image.tmdb.org/t/p/w500/iBZlbYSVOYjBJDwg4D3bcK0hE8F.jpg,7,,,,"7,8","8,5","6,58","6,8125",3,7,N/A,DreamWorks Animation,Cinema,2025-02-06,1
516729,Paddington: Uma Aventura na Floresta,Paddington in Peru,Paddington in Peru,2025-01-23,https://image.tmdb.org/t/p/w500/lmQnyeuRCDXf5MFNu3eyznO4FTn.jpg,"7,1",,"6,8",7,"6,4",,"6,92","6,86831",2,"6,86831",N/A,Marmalade Pictures,Cinema,2025-02-06,1
