serie_id,nome_serie,serie_original,nome_series_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_trakt,NaN_count,nota_score,streaming,studio,serie_type,data,ranking
89180,Dimension 20,Dimension 20,Dimension 20,,https://image.tmdb.org/t/p/w500/8xZXCenM9n5HYyrgr5FcP2oHwdx.jpg,"9,3","9,3",,,,,"8,86525",4,"9,082625",N/A,Dropout,Cinema,2025-02-06,1
254002,Critical Role,Critical Role,Critical Role,,https://image.tmdb.org/t/p/w500/keSNwdzmSgQzluKmqTI6kwDOFa7.jpg,"8,6","9,1",,,,,"8,96078",4,"8,78039",N/A,Critical Role Productions,Cinema,2025-02-06,1
95557,INVENCÍVEL,INVINCIBLE,INVINCIBLE,,https://image.tmdb.org/t/p/w500/29myVHhdGoS735ZJ9hblY0pQ3K9.jpg,"8,6",,"8,7",,,"8,8","6,33333",4,"8,7",Amazon Prime Video,Amazon Studios,Streaming,2025-02-06,1
95396,Ruptura,Severance,Severance,,https://image.tmdb.org/t/p/w500/d09X5AzxBq4GkHL6j8pmkDPySfA.jpg,"8,406",,"8,7",,,,"8,695192549710546",4,"8,697596274855272",Apple TV Plus,Endeavor Content,Streaming,2025-02-06,1
207468,Kaiju No. 8,怪獣８号,Kaiju No. 8,,https://image.tmdb.org/t/p/w500/A6JOsCdFFTxtbDnKAfE0iY6jOiE.jpg,"8,6","8,3",,,,,,5,"8,6",Crunchyroll,Production I.G,Streaming,2025-02-05,1
228878,Efeitos Colaterais,Common Side Effects,Common Side Effects,,https://image.tmdb.org/t/p/w500/kNRixn2I02msqH7x0nmNwMg6pez.jpg,"9,1",,"8,6",,,,"6,86667",5,"8,6",Max,Bandera Entertainment,Streaming,2025-02-05,1
154822,Pergunte às Estrelas,별들에게 물어봐,When the Stars Gossip,,https://image.tmdb.org/t/p/w500/jO8eCh0rLGQj7c1TwHqcCAvJegD.jpg,"8,9","7,1",,"6,4","8,4",,,4,"8,4",Netflix,Studio Dragon,Streaming,2025-02-05,1
87940,Hudson & Rex,Hudson & Rex,Hudson & Rex,,https://image.tmdb.org/t/p/w500/up0MUqFzDBNxjhdWrbNG6Ak2kSi.jpg,"8,388","7,4",,,,,,5,"8,388",Claro tv+,Shaftesbury Films,Streaming,2025-02-05,1
219937,Dexter: Pecado Original,Dexter: Original Sin,Dexter: Original Sin,,https://image.tmdb.org/t/p/w500/w1iM0vkMz9XVCH1ZBiU3m1288G5.jpg,"8,5",,"8,3","7,8",,,"7,76427255985267",4,"8,3",Paramount Plus,Counterpart Studios,Streaming,2025-02-06,1
62650,Chicago Med: Atendimento de Emergência,Chicago Med,Chicago Med,,https://image.tmdb.org/t/p/w500/nu6RzHO4QahyICKJPkK7xYgUfzM.jpg,"8,297","7,6",,9,,,"7,8229",4,"8,297",Amazon Prime Video,Universal Television,Streaming,2025-02-05,1
1554,QI,QI,QI,,https://image.tmdb.org/t/p/w500/hieAAv1MVYzRuX12ttVmlq7kGn9.jpg,"7,928","8,6",,,,,"8,66327",4,"8,295635",N/A,Talkback Thames,Cinema,2025-02-06,1
58841,Chicago P.D.: Distrito 21,Chicago P.D.,Chicago P.D.,,https://image.tmdb.org/t/p/w500/3k9YHHlENlcIT8g2BqeXsaDI2Hh.jpg,"8,4",,"8,1",,,"8,8",,4,"8,25",Amazon Prime Video,Universal Television,Streaming,2025-02-06,1
74440,Arlequina,Harley Quinn,Harley Quinn,,https://image.tmdb.org/t/p/w500/bl4hQISOR5QNu4cITDuN1E4zLAJ.jpg,"8,3","8,4",,,,,"8,17101",5,"8,235505",Max,DC Entertainment,Streaming,2025-02-05,1
44006,Chicago Fire: Heróis Contra o Fogo,Chicago Fire,Chicago Fire,,https://image.tmdb.org/t/p/w500/iD8lx0VgmpCZMhycI0Xw72wCuRS.jpg,"8,4",,8,,,"8,8","8,2033",4,"8,2033",Amazon Prime Video,Universal Television,Streaming,2025-02-06,1
77169,Cobra Kai,Cobra Kai,Cobra Kai,,https://image.tmdb.org/t/p/w500/6GDW4EsgsXlYrL1ASb5eCHQK4er.jpg,"8,2","8,4",,9,,,"7,9786016421995525",3,"8,2",Netflix,Hurwitz & Schlossberg Productions,Streaming,2025-02-06,1
207332,SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,,https://image.tmdb.org/t/p/w500/qTNIxDIzKjLLuS17fxdXjcKAlW7.jpg,"8,2","7,8",,,8,,"8,42481",3,"8,2",Netflix,TMS Entertainment,Streaming,2025-02-06,1
